DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,TOXCAST ACTIVE,TOXCAST TOTAL,% TOXCAST ACTIVE,HIT CALL,CONTINUOUS HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
DTXSID4023412,Oxytetracycline dihydrate,6153-64-6,C22H28N2O11,496.169310,124,783,16,Inactive,0,-0.19403361610078335,0.009701680805039168,0.00004904214947890951,-4.309430503286305
DTXSID1047813,Rimantadine hydrochloride,1501-84-4,C12H22ClN,215.144077,2,244,1,Inactive,0,-1.3759922108785432,0.06879961054392716,19.15708812260535,1.2823294969977375
DTXSID0022565,Albutoin,830-89-7,C10H16N2OS,212.098334,0,78,0,Inactive,0,-0.4144212009744538,0.02072106004872269,0.0011861652841490804,-2.925854790742
DTXSID4046076,Sildenafil citrate,171599-83-0,C28H38N6O11S,666.231927,12,244,5,Inactive,0,0.32962108150517766,0.016481054075258884,0.013813892565460843,-1.8596839259474307
DTXSID7023302,Methylprednisolone acetate,53-36-1,C24H32O6,416.219889,9,78,12,Inactive,0,0.48254700770436537,0.02412735038521827,19.15708812260535,1.2823294969977375
DTXSID3046081,Thymol iodide,552-22-7,C20H24I2O2,549.986570,7,244,3,Inactive,0,1.7564310864290178,0.08782155432145089,19.15708812260535,1.2823294969977375
DTXSID2027381,"1,2-Propylene glycol monostearate",1323-39-3,C21H42O3, ,5,78,6,Inactive,0,-0.7737047416114159,0.0386852370805708,0.07481296158603222,-1.1260231527020013
DTXSID4022862,Cyclandelate,456-59-7,C17H24O3,276.172545,9,78,12,Inactive,0,-1.0169852768514356,0.05084926384257178,19.157088122605355,1.2823294969977377
DTXSID4022814,Acid Red 94 disodium salt,632-69-9,C20H2Cl4I4Na2O5,1015.463050,21,78,27,Inactive,0,-2.2353668696960973,0.11176834348480487,19.15708812260535,1.2823294969977375
DTXSID3046083,Aripiprazole,129722-12-9,C23H27Cl2N3O2,447.148032,98,244,40,Inactive,0,-2.0036398388049355,0.10018199194024677,5.452342880410681,0.7365831594128089
DTXSID7040657,Butenafine,101828-21-1,C23H27N,317.214350,25,244,10,Inactive,0,-2.033902464635642,0.10169512323178209,19.15708812260535,1.2823294969977375
DTXSID8046084,Cefdinir,91832-40-5,C14H13N5O5S2,395.035811,0,78,0,Inactive,0,0.48346262368472515,0.02417313118423626,1.14323470909035,0.05813540134762917
DTXSID3046085,Cefprozil monohydrate,121123-17-9,C18H21N3O6S,407.115107,1,78,1,Inactive,0,0.37714730101344895,0.018857365050672446,0.1067482262334262,-0.9716393326348847
DTXSID8046086,Eszopiclone,138729-47-2,C17H17ClN6O3,388.105066,1,244,0,Inactive,0,0.11767527692601368,0.005883763846300684,19.15708812260535,1.2823294969977375
DTXSID8046088,Nefazodone hydrochloride,82752-99-6,C25H33Cl2N5O2,505.201131,77,244,32,Inactive,0,-2.396777820915743,0.11983889104578715,5.205332036247099,0.7164484373836667
DTXSID3023687,(R)-(+)-Tolterodine,124937-51-5,C22H31NO,325.240565,24,244,10,Inactive,0,1.7330650861737376,0.08665325430868688,35.60760658465646,1.551542782941039
DTXSID2044210,Valacyclovir hydrochloride,124832-27-5,C13H21ClN6O4,360.131281,5,244,2,Inactive,0,-0.4976843465206507,0.024884217326032534,19.15708812260535,1.2823294969977375
DTXSID0042668,Zoledronate,118072-93-8,C5H10N2O7P2,271.996325,0,78,0,Inactive,0,-0.12306720547889359,0.0061533602739446795,19.15708812260535,1.2823294969977375
DTXSID9022780,Cephalexin,15686-71-2,C16H17N3O4S,347.093977,1,244,0,Inactive,0,1.3461425923167294,0.06730712961583647,19.15708812260535,1.2823294969977375
DTXSID1021744,Thiopental sodium,71-73-8,C11H17N2NaO2S,264.090843,3,244,1,Inactive,0,-0.8945440046735398,0.04472720023367699,4.294273462994464,0.6328896972236441
DTXSID2046090,Eltoprazine hydrochloride,98206-09-8,C12H17ClN2O2,256.097855,1,244,0,Inactive,0,0.008465850643925948,0.00042329253219629737,19.15708812260535,1.2823294969977375
DTXSID7046091,Zaldaride,109826-26-8,C26H28N4O2,428.221226,66,244,27,Inactive,0,-1.3339033190179888,0.06669516595089944,31.610899587613986,1.499836855231468
DTXSID2046092,Devazepide,103420-77-5,C25H20N4O2,408.158626,42,259,16,Inactive,0,1.1427254522591832,0.05713627261295916,19.15708812260535,1.2823294969977375
DTXSID7046093,Fanapanel,161605-73-8,C14H15F3N3O6P,409.065057,0,244,0,Inactive,0,-0.4451970730191539,0.022259853650957694,0.11843015530651844,-0.926537701196229
DTXSID2046094,Eplerenone,107724-20-9,C24H30O6,414.204239,4,256,2,Inactive,0,-0.22575467370328717,0.011287733685164359,19.15708812260535,1.2823294969977375
DTXSID7046095,Pepstatin,26305-03-3,C34H63N5O9,685.462579,0,244,0,Inactive,0,0.37355710786255086,0.018677855393127545,19.15708812260535,1.2823294969977375
DTXSID2046096,Hordenine,539-15-1,C10H15NO,165.115364,0,244,0,Inactive,0,-0.24280207689070168,0.012140103844535084,19.15708812260535,1.2823294969977375
DTXSID7046097,6-Aminopenicillanic acid,551-16-6,C8H12N2O3S,216.056863,0,78,0,Inactive,0,1.0103613016198227,0.05051806508099114,2.0732506358576037,0.3166518072507443
DTXSID2040652,Artemisinin,63968-64-9,C15H22O5,282.146724,21,244,9,Inactive,0,-1.874772252724303,0.09373861263621515,19.15708812260535,1.2823294969977375
DTXSID7046099,Thebaine,115-37-7,C19H21NO3,311.152144,4,78,5,Inactive,0,-0.03487178196460876,0.001743589098230438,8.5632183908046,0.9326370201296744
DTXSID9046100,"6,7-Dimethoxyquinazoline-2,4(1H,3H)-dione",28888-44-0,C10H10N2O4,222.064057,2,244,1,Inactive,0,0.2869790120403671,0.014348950602018355,8.5632183908046,0.9326370201296744
DTXSID4046101,Geliomycin,20004-62-0,C22H16O6,376.094688,81,244,33,Inactive,0,-7.160729019169188,0.3580364509584594,9.954327040753029,0.9980119050096924
DTXSID9046102,Benaxibine,27661-27-4,C12H15NO6,269.089937,0,78,0,Inactive,0,-0.1805716436223766,0.00902858218111883,0.0002255838573803881,-3.646691981379535
DTXSID4046103,Linotroban,120824-08-0,C14H15NO5S2,341.039165,0,78,0,Inactive,0,-1.3874490004734659,0.06937245002367329,3.801247797178554,0.5799261814787979
DTXSID4021133,Isbogrel,89667-40-3,C18H19NO2,281.141579,0,78,0,Inactive,0,-0.9062846572828575,0.04531423286414287,19.15708812260535,1.2823294969977375
DTXSID9046104,Tenidap,120210-48-2,C14H9ClN2O3S,320.002241,59,256,23,Inactive,0,-5.419512897790754,0.2709756448895377,19.15708812260535,1.2823294969977375
DTXSID8020911,Nafenopin,3771-19-5,C20H22O3,310.156895,3,78,4,Inactive,0,0.828489659731997,0.04142448298659985,19.15708812260535,1.2823294969977375
DTXSID6027395,Sorbitan monododecanoate,1338-39-2,, ,0,161,0,Inactive,0,-0.9335434345837054,0.04667717172918527,13.485542428630518,1.129868419756152
DTXSID3020469,Diftalone,21626-89-1,C16H12N2O2,264.089878,0,78,0,Inactive,0,-0.3666706677464101,0.018333533387320505,19.15708812260535,1.2823294969977375
DTXSID9046106,Cefaloram,859-07-4,C18H18N2O6S,390.088557,0,78,0,Inactive,0,0.7716288487200162,0.03858144243600081,19.15708812260535,1.2823294969977375
DTXSID4046107,Vanitiolide,17692-71-6,C12H15NO3S,253.077265,0,244,0,Inactive,0,-0.39963756001143946,0.019981878000571975,0.00004904215537726358,-4.309430451053226
DTXSID9046108,2-(Aminocarbonyl)phenyl acetate,5663-71-8,C9H9NO3,179.058243,1,244,0,Inactive,0,-0.39008072440173186,0.019504036220086594,19.15708812260535,1.2823294969977375
DTXSID4046109,Bumecaine,30103-44-7,C18H28N2O,288.220164,22,256,9,Inactive,0,0.3143399108534573,0.015716995542672866,0.0005967450961057577,-3.224211141224367
